	wind_degree	humidity	temp_c
72	270.0	18.0	24.4
73	270.0	18.0	24.4
74	270.0	18.0	24.4
75	270.0	18.0	24.4
76	270.0	18.0	24.4
77	270.0	18.0	24.4
78	270.0	18.0	24.4
79	90.0	7.0	26.9
80	270.0	18.0	24.4
81	270.0	18.0	24.4
82	270.0	18.0	24.4
83	270.0	18.0	24.4
84	270.0	18.0	24.4
85	270.0	18.0	24.4
86	270.0	18.0	24.4
87	270.0	18.0	24.4
88	270.0	18.0	24.4
89	261.0	47.0	20.8
90	200.0	25.0	21.7
91	270.0	18.0	24.4
92	270.0	18.0	24.4
93	261.0	47.0	20.8
94	270.0	18.0	24.4
95	270.0	18.0	24.4
96	270.0	18.0	24.4
97	270.0	18.0	24.4
98	270.0	18.0	24.4
99	220.0	24.0	22.8
100	270.0	18.0	24.4
101	270.0	18.0	24.4
102	270.0	18.0	24.4
103	270.0	18.0	24.4
104	270.0	18.0	24.4
105	270.0	18.0	24.4
106	270.0	18.0	24.4
107	270.0	18.0	24.4
108	270.0	18.0	24.4
109	270.0	18.0	24.4
110	270.0	18.0	24.4
111	270.0	18.0	24.4
112	270.0	18.0	24.4
113	270.0	18.0	24.4
114	270.0	18.0	24.4
115	270.0	18.0	24.4
116	270.0	18.0	24.4
117	270.0	18.0	24.4
118	270.0	18.0	24.4
119	90.0	7.0	26.9
120	90.0	7.0	26.9
121	270.0	13.0	26.1
122	90.0	7.0	26.9
123	90.0	7.0	26.9
124	90.0	7.0	26.9
125	90.0	7.0	26.9
126	90.0	7.0	26.9
127	90.0	7.0	26.9
128	90.0	7.0	26.9
129	270.0	13.0	26.0
130	90.0	7.0	26.9
131	270.0	18.0	24.4
132	90.0	7.0	26.9
133	90.0	7.0	26.9
134	90.0	7.0	26.9
135	90.0	7.0	26.9
136	90.0	7.0	26.9
137	90.0	7.0	26.9
138	80.0	14.0	20.6
139	90.0	7.0	26.9
140	270.0	18.0	24.4
141	90.0	7.0	26.9
142	90.0	7.0	26.9
143	90.0	7.0	26.9
144	90.0	7.0	26.9
145	270.0	18.0	24.4
146	90.0	7.0	26.9
147	90.0	7.0	26.9
148	90.0	7.0	26.9
149	270.0	18.0	24.4
150	90.0	7.0	26.9
151	90.0	7.0	26.9
152	90.0	7.0	26.9
153	270.0	18.0	24.4
154	270.0	18.0	24.4
155	270.0	18.0	24.4
156	270.0	18.0	24.4
157	90.0	7.0	26.9
158	270.0	18.0	24.4
159	90.0	7.0	26.9
160	90.0	7.0	26.9
161	90.0	7.0	26.9
162	270.0	18.0	24.4
163	90.0	7.0	26.9
164	90.0	7.0	26.9
165	270.0	18.0	24.4
166	270.0	18.0	24.4
167	90.0	7.0	26.9
168	90.0	7.0	26.9
169	270.0	18.0	24.4
170	270.0	18.0	24.4
171	250.0	19.0	25.0
172	270.0	14.0	25.4
173	270.0	14.0	25.4
174	270.0	14.0	24.5
175	270.0	14.0	25.0
176	200.0	25.0	21.7
177	270.0	14.0	24.9
178	250.0	19.0	25.0
179	270.0	15.0	24.1
180	270.0	18.0	24.4
181	200.0	25.0	21.7
182	250.0	19.0	25.0
183	250.0	19.0	25.0
184	250.0	19.0	25.0
185	250.0	19.0	25.0
186	250.0	19.0	25.0
187	270.0	18.0	24.4
188	250.0	19.0	25.0
189	270.0	14.0	24.5
190	270.0	18.0	24.4
191	250.0	19.0	25.0
192	250.0	19.0	25.0
193	200.0	25.0	21.7
194	200.0	25.0	21.7
195	250.0	19.0	25.0
196	250.0	19.0	25.0
197	250.0	19.0	25.0
198	20.0	4.0	25.6
199	200.0	25.0	21.7
200	250.0	19.0	25.0
201	20.0	12.0	25.0
202	200.0	25.0	21.7
203	220.0	24.0	22.8
204	200.0	25.0	21.7
205	200.0	25.0	21.7
206	200.0	25.0	21.7
207	200.0	25.0	21.7
208	200.0	25.0	21.7
209	60.0	9.0	25.0
210	20.0	4.0	25.6
211	200.0	25.0	21.7
212	200.0	25.0	21.7
213	200.0	25.0	21.7
214	20.0	12.0	25.0
215	200.0	25.0	21.7
216	220.0	24.0	22.8
217	20.0	4.0	25.6
218	200.0	25.0	21.7
219	200.0	25.0	21.7
220	320.0	5.0	23.0
221	20.0	4.0	25.6
222	320.0	5.0	23.0
223	200.0	25.0	21.7
224	200.0	25.0	21.7
225	20.0	12.0	25.0
226	200.0	25.0	21.7
227	220.0	24.0	22.8
228	60.0	9.0	25.0
229	20.0	12.0	25.0
230	60.0	9.0	25.0
231	200.0	25.0	21.7
232	220.0	24.0	22.8
233	220.0	24.0	22.8
234	60.0	9.0	25.0
235	200.0	25.0	21.7
236	20.0	4.0	25.6
237	20.0	12.0	25.0
238	320.0	5.0	23.0
239	200.0	25.0	21.7
240	200.0	25.0	21.7
241	200.0	25.0	21.7
242	200.0	25.0	21.7
243	200.0	25.0	21.7
244	200.0	25.0	21.7
245	200.0	25.0	21.7
246	200.0	25.0	21.7
247	200.0	25.0	21.7
248	200.0	25.0	21.7
249	200.0	25.0	21.7
250	200.0	25.0	21.7
251	200.0	25.0	21.7
252	200.0	25.0	21.7
253	200.0	25.0	21.7
254	200.0	25.0	21.7
255	200.0	25.0	21.7
256	200.0	25.0	21.7
257	200.0	25.0	21.7
258	200.0	25.0	21.7
259	23.0	9.0	23.9
260	270.0	14.0	25.0
261	270.0	14.0	25.0
262	270.0	16.0	23.7
263	10.0	6.0	28.3
264	37.0	9.0	23.9
265	210.0	10.0	25.0
266	10.0	6.0	28.3
