	zip_code	y-2016	latitude	longitude
341	92020	58554	32.7928	-116.9665
342	92021	69552	32.8178	-116.9223
343	92024	50246	33.0535	-117.2689
344	92025	53742	33.1101	-117.07
345	92026	49327	33.1605	-117.0978
346	92027	56899	33.1388	-117.052
347	92028	48468	33.369	-117.229
348	92029	18758	33.0895	-117.1128
349	92036	2700	33.0534	-116.5658
350	92037	38659	32.8455	-117.2521
351	92040	43191	32.8562	-116.9201
352	92054	42523	33.2072	-117.3573
353	92055	12926	33.2433	-117.3768
354	92056	53920	33.1968	-117.2831
355	92057	57125	33.2407	-117.3025
356	92058	46463	33.1959	-117.3795
357	92059	1177	33.3777	-117.0717
358	92060	79	33.3228	-116.8786
359	92061	2046	33.3063	-116.9596
360	92064	49763	32.9756	-117.0402
361	92065	37633	33.0293	-116.8535
362	92066	530	33.21	-116.5167
363	92067	9127	33.005	-117.2157
364	92069	48682	33.1444	-117.1697
365	92070	1034	33.1476	-116.6963
366	92071	56682	32.8486	-116.9862
367	92075	12548	32.9937	-117.2598
368	92078	48009	33.1193	-117.185
369	92081	28976	33.1644	-117.2403
370	92082	18722	33.249	-117.0122
371	92083	37367	33.1978	-117.2482
372	92084	50915	33.2131	-117.2243
373	92086	1672	33.3096	-116.6527
374	92091	1473	32.9623	-117.0462
375	92101	36857	32.7185	-117.1593
376	92102	44778	32.7139	-117.1219
377	92103	33873	32.7466	-117.1636
378	92104	45788	32.7454	-117.1272
379	92105	72724	32.7423	-117.0947
380	92106	18864	32.7272	-117.2268
381	92107	29292	32.7425	-117.2433
382	92108	20899	32.7783	-117.1335
383	92109	48430	32.7969	-117.2405
384	92110	28508	32.7635	-117.2028
385	92111	48380	32.7972	-117.1708
386	92113	57887	32.697	-117.1153
387	92114	69688	32.7059	-117.0524
388	92115	64410	32.7607	-117.0721
389	92116	32920	32.7624	-117.1242
390	92117	54489	32.8239	-117.1965
391	92118	23473	32.6807	-117.1698
392	92119	23456	32.8036	-117.0261
393	92120	28518	32.7958	-117.0707
394	92121	4588	32.8919	-117.2035
395	92122	47314	32.8577	-117.2115
396	92123	30202	32.7973	-117.1392
397	92124	31061	32.8201	-117.0986
398	92126	80685	32.9161	-117.1402
399	92127	43588	33.0279	-117.0856
400	92128	49522	33.0067	-117.069
401	92129	55780	32.9652	-117.1213
402	92130	51757	32.9555	-117.2252
403	92131	34425	32.9123	-117.0898
404	92132	0	32.6437	-117.1384
405	92134	216	32.7242	-117.1466
406	92135	851	32.7153	-117.1573
407	92139	36720	32.6806	-117.0474
408	92140	3112	32.7434	-117.2004
409	92145	2096	32.8891	-117.1005
