zip_code,y-2016
92036,2700
92037,38659
92040,43191
92054,42523
92055,12926
92056,53920
92057,57125
92058,46463
92059,1177
92060,79
92061,2046
92064,49763
92065,37633
92066,530
92067,9127
92069,48682
92070,1034
92071,56682
92075,12548
92078,48009
92081,28976
92082,18722
92083,37367
92084,50915
92086,1672
92091,1473
92101,36857
92102,44778
92103,33873
92104,45788
92105,72724
92106,18864
92107,29292
92108,20899
92109,48430
92110,28508
92111,48380
92113,57887
92114,69688
92115,64410
92116,32920
92117,54489
92118,23473
92119,23456
92120,28518
92121,4588
92122,47314
92123,30202
92124,31061
92126,80685
92127,43588
92128,49522
92129,55780
92130,51757
92131,34425
92132,0
92134,216
92135,851
92139,36720
92140,3112
92145,2096
92147,569
92154,88016
92155,528
92173,32416
92201,64436
92203,29768
92210,4987
92211,24623
92220,33101
92222,0
92223,49804
92225,22242
92227,27120
92230,4088
92231,40070
92233,7770
92234,53253
92236,44124
92239,196
92240,35684
92241,9212
92242,1332
92243,49425
92249,7960
92250,8645
92251,22496
92252,8874
92253,39435
92254,12491
92256,3105
92257,1770
92258,435
92259,197
92260,33834
92262,27561
92264,19778
92266,97
92267,0
92268,505
92270,17876
92273,1661
92274,19326
92275,2174
92276,7803
92277,24028
92278,4162
92280,16
92281,2249
92282,1233
92283,2287
92284,25850
92285,2556
92301,32801
92304,21
92305,519
92307,38583
92308,40285
92309,742
92310,9337
92311,33962
92313,12432
92314,11997
92315,5282
92316,30231
92320,8364
92321,1214
92322,696
92324,58854
92325,8019
92327,544
92328,292
92332,3
92333,217
92335,99079
92336,92306
92337,39074
92338,0
92339,1171
92341,231
92342,7058
92344,22259
92345,81094
92346,60320
92347,1372
92352,6601
92354,20963
92356,5995
92358,1069
92359,8710
92363,5356
92364,0
92365,2601
92368,937
92371,16721
92372,5763
92373,35149
92374,41452
92376,85857
92377,20370
92378,154
92382,5006
92384,24
92385,296
92386,1992
92389,133
92391,3227
92392,57648
92394,36017
92395,41384
92397,4853
92398,1588
92399,54335
92401,1885
92404,58738
92405,29897
92407,64225
92408,15788
92410,48660
92411,26437
92501,21975
92503,94029
92504,57004
92505,49705
92506,46172
92507,57347
92508,38360
92509,80480
92518,1145
92530,54710
92532,22248
92536,2811
92539,3775
92543,36962
92544,47275
92545,40732
92548,7577
92549,2644
92551,33670
92553,74925
92555,42264
92557,51551
92561,1577
92562,64222
92563,60651
92567,10205
92570,59324
92571,54512
92582,16695
92583,32051
92584,49317
92585,21714
92586,19351
92587,17157
92590,3951
92591,40396
92592,80135
92595,31541
92596,25363
92602,24962
92603,20206
92604,28580
92606,23129
92610,11895
92612,31166
92614,25930
92617,16942
92618,29921
92620,46966
92624,6454
92625,12187
92626,51133
92627,61996
92629,26797
92630,61081
92637,16330
92646,55598
92647,61285
92648,47701
92649,33513
92651,24612
92653,29028
92655,9257
92656,52335
92657,9768
92660,35935
92661,3419
92662,2863
92663,22408
92672,34605
92673,30553
92675,36548
92676,2156
92677,65645
92678,532
92679,32819
92683,91613
92688,45105
92691,49471
92692,48851
92694,25906
92701,51317
92703,71245
92704,89993
92705,47515
92706,36684
92707,61667
92708,57675
92780,62017
92782,23174
92801,66657
92802,42583
92804,86220
92805,73043
92806,40296
92807,35284
92808,20427
92821,37642
92823,3769
92831,36533
92832,25601
92833,53227
92835,23464
92840,56256
92841,34031
92843,45211
92844,23585
92845,17276
92860,26822
92861,5872
92865,20643
92866,15760
92867,44868
92868,27232
92869,36298
92870,53690
92879,46487
92880,66557
92881,34466
92882,71024
92883,32549
92886,49644
92887,20529
93001,33765
93003,51041
93004,30218
93010,44761
93012,35714
93013,16603
93015,17487
93021,37093
93022,7154
93023,20168
93030,60582
93033,83103
93035,28258
93036,46328
93040,1980
93041,24351
93042,104
93043,163
93060,33837
93063,56637
93064,0
93065,72211
93066,3082
93067,690
93101,32157
93103,20827
93105,25808
93108,11345
93109,11583
93110,16777
93111,18441
93117,57268
93201,1314
93202,3570
93203,22106
93204,13590
93205,1630
93206,1978
93207,252
93208,74
93210,18617
93212,24861
93215,55494
93218,1068
93219,10266
93220,381
93221,15109
93222,1542
93223,10699
93224,432
93225,4886
93226,211
93230,66109
93234,6865
93235,4014
93238,1550
93239,1704
93240,6489
93241,17233
93242,3748
93243,1736
93244,396
93245,37502
93247,18676
93249,2277
93250,14824
93251,236
93252,3437
93254,685
93255,675
93256,6092
93257,75715
93258,2650
93260,199
93261,3221
93262,74
93263,20346
93265,3290
93266,1271
93267,6817
93268,17643
93270,5654
93271,2001
93272,4117
93274,72264
93276,216
93277,52526
93280,27572
93283,2339
93285,1700
93286,10169
93287,115
93291,56298
93292,39089
93301,11555
93304,51891
93305,38793
93306,69660
93307,84667
93308,54497
93309,59492
93311,45512
93312,58102
93313,49006
93314,26197
93401,28684
93402,15636
93405,35642
93410,0
93420,30022
93422,33270
93424,867
93426,1988
93427,5662
93428,6309
93429,140
93430,3214
93432,953
93433,13484
93434,7252
93436,55914
93437,3483
93440,1507
93441,1099
93442,11092
93444,19317
93445,8164
93446,44515
93449,7984
93450,988
93451,4184
93452,552
93453,3170
93454,38980
93455,43898
93458,56722
93460,4798
93461,1447
93463,7905
93465,8995
93501,5134
93505,13324
93510,7594
93512,352
93513,1803
93514,13976
93516,2314
93517,909
93518,949
93519,36
93522,35
93523,3366
93524,171
93526,703
93527,2206
93528,127
93529,631
93530,29
93531,369
93532,2681
93534,38994
93535,73948
93536,70969
93541,500
93543,13780
93544,1021
93545,2005
93546,9252
93549,250
93550,75624
93551,51023
93552,41128
93553,1882
93554,156
93555,34064
93558,236
93560,20263
93561,34182
93562,1620
93563,413
93591,6508
93592,41
93601,1944
93602,4151
93603,138
93604,708
93605,211
93606,849
93608,993
93609,5689
93610,23757
93611,47988
93612,36062
93614,11255
93615,6263
93616,2599
93618,30465
93619,32958
93620,9591
93621,194
93622,10632
93623,134
93624,1326
93625,7446
93626,1760
93627,77
93628,221
93630,19095
93631,16268
93633,0
93634,23
93635,39969
93636,11885
93637,39952
93638,50626
93640,12660
93641,258
93643,2935
93644,7854
93645,207
93646,11195
93647,11215
93648,16228
93650,4170
93651,1662
93652,280
93653,1352
93654,31460
93656,7194
93657,34349
93660,4587
93662,30169
93664,494
93665,943
93666,968
93667,2626
93668,957
93669,209
93673,747
93675,3358
93701,10369
93702,46021
93703,34166
93704,27870
93705,38093
93706,40583
93710,32249
93711,37095
93720,46402
93721,6898
93722,81832
93723,10874
93725,26809
93726,42950
93727,79314
93728,15670
93730,11397
93901,27387
93905,61494
93906,63821
93907,22513
93908,11986
93920,1082
93921,3407
93923,12301
93924,6457
93925,1824
93926,9506
93927,18609
93928,441
93930,16536
93932,618
93933,23851
93940,32727
93943,0
93950,15577
93953,4435
93954,362
93955,34421
93960,26831
93962,745
94002,27116
94005,4568
94010,42569
94014,48387
94015,64712
94019,19874
94020,1170
94021,159
94022,19705
94024,23057
94025,41491
94027,7317
94028,6830
94030,22552
94037,2895
94038,3628
94040,35200
94041,14162
94043,29689
94044,38844
94060,1697
94061,38709
94062,27099
94063,33396
94065,12626
94066,42777
94070,30370
94074,309
94080,66876
94085,23177
94086,49851
94087,55987
94089,21403
94102,29319
94103,25747
94104,489
94105,6793
94107,29384
94108,14704
94109,56019
94110,73511
94111,3432
94112,84001
94114,33504
94115,34681
94116,45936
94117,43323
94118,41662
94121,42720
94122,62029
94123,25238
94124,35446
94127,20664
94128,119
94129,3762
94130,3090
94131,28350
94132,31289
94133,27491
94134,41677
94158,5995
94301,17409
94303,47743
94304,3658
94305,14971
94306,27259
94401,36597
94402,24517
94403,42252
94404,36086
94501,63228
94502,14181
94503,20366
94505,14820
94506,24371
94507,16205
94508,4268
94509,64412
94510,27786
94511,2199
94512,96
94513,59444
94514,1358
94515,7379
94516,157
94517,13139
94518,27549
94519,19594
94520,39535
94521,41854
94523,34742
94525,3103
94526,32284
94528,749
